"Terme de programme","Origine","Lignes de matrice","Slug retenu","Type de correspondance","Confiance","Commentaire"
"ampoule","vocabulaire","M002","non rattaché","rejet","backlog","Pas de fiche générique « lampe / ampoule » ; ampoule-led est un type particulier."
"Circuit électrique à une boucle","notion","M002","circuit-electrique","sens","haute","La notion du programme est le circuit électrique lui-même."
"circuit ouvert/fermé","vocabulaire","M002","circuit-ferme","compose","haute","Libellé composé recouvrant deux fiches."
"circuit ouvert/fermé","vocabulaire","M002","circuit-ouvert","compose","haute","Libellé composé recouvrant deux fiches."
"pile","vocabulaire","M002","pile-electrique","variante","haute",""
"interrupteur","vocabulaire","M002, M005, M007","interrupteur","direct","haute",""
"générateur","vocabulaire","M002, M007","generateur-electrique","variante","haute","« Générateur » du circuit scolaire = fiche Générateur électrique."
"matériau conducteur/isolant","vocabulaire","M002, M007","conducteur-electrique","compose","haute","Libellé composé recouvrant deux fiches."
"matériau conducteur/isolant","vocabulaire","M002, M007","isolant-electrique","compose","haute","Libellé composé recouvrant deux fiches."
"récepteur","vocabulaire","M002, M007","non rattaché","rejet","backlog","« Récepteur » au sens du dipôle qui consomme l'énergie ; la fiche voisine recepteur-radiofrequence a un tout autre sens."
"Objets et circuits électriques simples","notion","M003","circuit-electrique","sens","haute","Idem : circuit électrique simple."
"règles de sécurité","vocabulaire","M003","non rattaché","rejet","backlog","Pas de fiche « sécurité électrique » ; notion pourtant attendue dès le cycle 2."
"objet technique","vocabulaire","M003, M004","non rattaché","rejet","hors périmètre","Notion de technologie, hors périmètre du wiki."
"circuit électrique","vocabulaire","M003, M061","circuit-electrique","direct","haute",""
"besoin","vocabulaire","M004","non rattaché","rejet","hors périmètre","Vocabulaire de technologie, hors périmètre."
"Objets techniques et source d'énergie","notion","M004","non rattaché","rejet","hors périmètre","Notion de technologie générale, sans fiche correspondante."
"assistance électrique","vocabulaire","M005","non rattaché","rejet","hors périmètre","Exemple d'application, hors périmètre."
"câbles","vocabulaire","M005","cable-electrique","variante","haute","Pluriel."
"maquette","vocabulaire","M005","non rattaché","rejet","hors périmètre","Hors périmètre."
"Objets techniques utilisant une source d'énergie électrique","notion","M005","non rattaché","rejet","hors périmètre","Idem ; le vocabulaire de la ligne porte les rattachements."
"pile électrique","vocabulaire","M005","pile-electrique","direct","haute",""
"énergie électrique","vocabulaire","M005, M025","non rattaché","rejet","backlog","Aucune fiche « énergie électrique ». Ne PAS rattacher à la fiche « électricité » : AGENTS.md §3 interdit de confondre électricité et énergie."
"Dispositifs numériques","notion","M006","non rattaché","rejet","hors périmètre","Libellé générique ; vocabulaire traité ligne à ligne."
"numérique","vocabulaire","M006","non rattaché","rejet","hors périmètre","Adjectif trop générique ; les fiches signal-numerique et circuit-numerique ont un sens précis."
"ordinateur","vocabulaire","M006","non rattaché","rejet","hors périmètre","Hors périmètre électricité/électronique du wiki."
"processeur","vocabulaire","M006","processeur-cpu","variante","haute",""
"câbles conducteurs","vocabulaire","M007","cable-electrique","variante","haute",""
"Circuit électrique simple à une boucle","notion","M007","circuit-electrique","sens","haute","Idem."
"circuit fermé/ouvert","vocabulaire","M007","circuit-ferme","compose","haute","Libellé composé recouvrant deux fiches."
"circuit fermé/ouvert","vocabulaire","M007","circuit-ouvert","compose","haute","Libellé composé recouvrant deux fiches."
"Circuits électriques et lois de l'électricité","notion","M009","circuit-electrique","sens","haute",""
"loi d'Ohm","vocabulaire","M009","non rattaché","rejet","backlog","Aucune fiche « loi d'Ohm » alors que la notion est centrale au cycle 4."
"loi des nœuds/mailles","vocabulaire","M009","non rattaché","rejet","backlog","Aucune fiche sur les lois de Kirchhoff."
"puissance électrique","vocabulaire","M009","puissance-electrique","direct","haute",""
"résistance","vocabulaire","M009","resistance-electrique","variante","haute","Cycle 4 : « tension, intensité, résistance » désigne la GRANDEUR."
"dipôle","vocabulaire","M009, M014","non rattaché","rejet","backlog","Aucune fiche « dipôle »."
"intensité","vocabulaire","M009, M014, M029","intensite-electrique","variante","haute",""
"tension","vocabulaire","M009, M014, M034, M072","tension-electrique","variante","haute",""
"information","vocabulaire","M010","non rattaché","rejet","hors périmètre","Trop générique."
"signal","vocabulaire","M010","non rattaché","rejet","backlog","Idem."
"signal électrique","vocabulaire","M010","non rattaché","rejet","backlog","Idem."
"Signal électrique, vecteur d'information","notion","M010","non rattaché","rejet","backlog","Pas de fiche générique « signal électrique » ; seules signal-analogique et signal-numerique existent et ne recouvrent pas la notion du cycle 4."
"Chaîne d'énergie","notion","M011","non rattaché","rejet","backlog","Aucune fiche « chaîne d'énergie » (notion pivot du cycle 4)."
"chaîne d'énergie","vocabulaire","M011","non rattaché","rejet","backlog","Idem."
"Chaîne d'information, capteurs et actionneurs","notion","M012","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"codeur","vocabulaire","M012","non rattaché","rejet","backlog","Aucune fiche « codeur »."
"signal analogique/numérique","vocabulaire","M012","signal-analogique","compose","haute","Libellé composé recouvrant deux fiches."
"signal analogique/numérique","vocabulaire","M012","signal-numerique","compose","haute","Libellé composé recouvrant deux fiches."
"actionneur","vocabulaire","M012, M015","actionneur","direct","haute",""
"capteur","vocabulaire","M012, M015, M020, M024, M037, M043, M058, M071","capteur","direct","haute",""
