"ID_Ligne","ID_Famille","Cycle","Niveau","Discipline","Notion (normalisée)","Formulation originale","Attendu / Compétence","Vocabulaire associé","Notion(s) antérieure(s)","Notion(s) postérieure(s)","Source (référence BO)","Niveau_maitrise","Fiabilite_source","Cycle_scolaire_normalise","Remarques"
"M001","FAM19","Cycle 1","PS/MS/GS","Découvrir le monde du vivant, de la matière et des objets","Absence de notion d'électricité/électronique","Aucune notion identifiée","Constat : aucune mention du courant électrique, d'un circuit, d'une pile ou d'un composant électronique dans le domaine concerné. Le magnétisme (aimant) est mentionné mais hors périmètre électricité/électronique.","—","","M008","BO n°19 du 7-5-2026, arrêté du 16-4-2026 (programme maternelle)","","officiel-integral","C1",""
"M002","FAM01","Cycle 2","CE1 (nouveau programme 2026, généralisé 2027-2028)","Sciences et technologie — « La matière, les mesures, l'électricité »","Circuit électrique à une boucle","Circuit électrique à une boucle (générateur/pile, interrupteur, récepteur/ampoule) ; matériaux conducteurs et isolants","Réaliser un circuit électrique à une boucle pour mettre en évidence la circulation du courant électrique ; tester des matériaux isolants/conducteurs.","générateur, pile, interrupteur, récepteur, ampoule, circuit ouvert/fermé, matériau conducteur/isolant","","M007","BO n°24 du 11-6-2026, arrêté du 5-6-2026 (nouveau programme cycle 2)","","officiel-integral","C2",""
"M003","FAM01","Cycle 2","CE1/CE2 (ancien programme 2015 modifié en 2020, en vigueur 2026-2027)","Questionner le monde — « Les objets techniques »","Objets et circuits électriques simples","Objets et circuits électriques simples","Réaliser quelques objets et circuits électriques simples, en respectant des règles élémentaires de sécurité.","circuit électrique, objet technique, règles de sécurité","","M007","Programme 2015 (BOEN spécial n°11 du 26-11-2015) modifié par le BOEN n°31 du 30-7-2020, « Questionner le monde » (en vigueur en CE1/CE2 jusqu'à la bascule de la rentrée 2027-2028)","","officiel-integral","C2",""
"M004","FAM03","Cycle 2","CP (nouveau programme 2026)","Sciences et technologie — « Les objets techniques au cœur de la société »","Objets techniques et source d'énergie","Distinction entre objets techniques utilisant ou non une source d'énergie","Identifier des activités du quotidien faisant appel à des objets techniques.","objet technique, besoin","","M005","BO n°24 du 11-6-2026, arrêté du 5-6-2026 (nouveau programme cycle 2)","","officiel-integral","C2",""
"M005","FAM03","Cycle 2","CE1 (nouveau programme 2026)","Sciences et technologie — « Les objets techniques au cœur de la société »","Objets techniques utilisant une source d'énergie électrique","Objets techniques utilisant une source d'énergie électrique ; maquette avec circuit électrique fonctionnel","Différencier les objets selon qu'ils utilisent ou non une source d'énergie électrique ; réaliser une maquette avec circuit électrique et identifier les composants.","énergie électrique, pile électrique, câbles, interrupteur, maquette, assistance électrique","M004","","BO n°24 du 11-6-2026, arrêté du 5-6-2026 (nouveau programme cycle 2)","","officiel-integral","C2",""
"M006","FAM06","Cycle 2","CE2 (nouveau programme 2026)","Sciences et technologie — « Les objets techniques au cœur de la société »","Dispositifs numériques","Dispositifs numériques (clavier, processeur, écran) — prolongement vers l'informatique","Identifier les dispositifs permettant la saisie, le traitement et la restitution d'informations.","processeur, ordinateur, numérique","","M013","BO n°24 du 11-6-2026, arrêté du 5-6-2026 (nouveau programme cycle 2)","","officiel-integral","C2",""
"M007","FAM01","Cycle 3","CM2/6e (ancien programme 2015 modifié)","Sciences et technologie — « Matière, mouvement, énergie, information »","Circuit électrique simple à une boucle","Circuit électrique simple à une boucle (générateur, interrupteur, récepteur)","Repère annuel : mise en évidence de la circulation électrique dans un circuit fermé ; identification des matériaux conducteurs/isolants.","générateur, récepteur, interrupteur, câbles conducteurs, circuit fermé/ouvert, matériau conducteur/isolant","M002 ; M003","M009","Programme cycle 3, 2015 modifié (en vigueur CM2/6e jusqu'en 2027-2028)","","officiel-accompagnement","C3","CM1 : nouveau programme 2026 à extraire (J2)."
"M008","FAM19","Cycle 3","CM1/CM2/6e","Sciences et technologie","Absence d'apprentissage électricité dédié au cycle 3","Absence d'un apprentissage électricité dédié (le sujet, vu en cycle 2, est repris via l'étude d'objets techniques, pas comme thème autonome)","Constat du programme de physique-chimie de cycle 4, en tant que repère de progressivité amont.","—","M001","M023","BOEN n°31 du 30-7-2020 (physique-chimie cycle 4) (mention rétrospective du cycle 3)","","officiel-integral","C3","Constat portant sur l'ancien programme de cycle 3 (CM2/6e) ; à réexaminer après extraction du nouveau programme 2026 (CM1, J2)."
"M009","FAM02","Cycle 4","5e/4e/3e","Physique-Chimie — « L'énergie, ses transferts et ses conversions »","Circuits électriques et lois de l'électricité","Circuits électriques et lois de l'électricité (dipôles série/dérivation, loi d'additivité des tensions et des intensités, loi d'Ohm, puissance électrique P=U.I)","Réaliser des circuits électriques simples et exploiter les lois de l'électricité ; conduire un calcul de consommation d'énergie électrique.","tension, intensité, résistance, dipôle, loi d'Ohm, puissance électrique, loi des nœuds/mailles","M007","M014 ; M062","BOEN n°31 du 30-7-2020 (physique-chimie cycle 4)","","officiel-integral","C4",""
"M010","FAM05","Cycle 4","5e/4e/3e","Physique-Chimie — « Des signaux pour observer et communiquer »","Signal électrique, vecteur d'information","Signal électrique comme vecteur d'information (mention transversale, moins développée que lumière/son)","Croisement avec la technologie : signaux sonores, lumineux et électriques comme moyens de transmettre une information.","signal, information, signal électrique","","M012","BOEN n°31 du 30-7-2020 (physique-chimie cycle 4)","","officiel-integral","C4",""
